controller,model_seed,test_seed,horizon_hours,scenario_hours,event_count,override_events,episode_wall_time_s,episode_total_cost_eur,terminal_cleanup_operating_cost_eur,total_cost_eur,normalized_cost_eur_per_720h,captured_t,stored_t,vented_t,normalized_vented_t_per_720h,storage_rate,unit_cost_eur_per_captured_t
greedy,,9000051,8760,8928,,,302.32229676516727,27340691.13005148,287987.18668739084,27628678.31673887,2270850.272608674,1565639.0249619347,1442221.5075568447,107877.52647398153,8866.646011560126,0.9211711541183061,17.646901920709727
greedy,,9000052,8760,8928,,,231.12476134998724,29484617.745555848,242310.30598408976,29726928.05153994,2443309.154921091,1608256.3061584474,1458704.930164403,133580.34572480863,10979.206497929477,0.9070102349847026,18.483949316851742
greedy,,9000053,8760,8928,,,303.85317775793374,29534568.000828065,244332.36157203445,29778900.3624001,2447580.8517041174,1606692.838436188,1455514.960996324,131630.14012076452,10818.915626364209,0.9059074181303957,18.53428337390502
greedy,,9000054,8760,8928,,,315.9346955129877,26185921.222258348,238727.57417126826,26424648.796429615,2171888.942172297,1576605.2179657847,1475805.2429423032,90124.13026964838,7407.462761888907,0.9360651773349205,16.760472752033653
greedy,,9000055,8760,8928,,,278.6291224840097,28451306.602926828,287197.39304687304,28738503.995973703,2362068.82158688,1595233.9319738874,1457556.8860064948,120186.9239283288,9878.377309177711,0.9136947608699397,18.01522862569358
