controller,model_seed,test_seed,horizon_hours,scenario_hours,event_count,override_events,episode_wall_time_s,episode_total_cost_eur,terminal_cleanup_operating_cost_eur,total_cost_eur,normalized_cost_eur_per_720h,captured_t,stored_t,vented_t,normalized_vented_t_per_720h,storage_rate,unit_cost_eur_per_captured_t
iterative_q_direct,0,9000031,8760,8928,4330,138,320.8971487148665,24516525.69701672,299157.3938471447,24815683.090863865,2039645.1855504545,1569787.9989018934,1490805.9429643864,56699.45888738529,4660.229497593311,0.9496861639961849,15.8083022091028
iterative_q_direct,0,9000032,8760,8928,4456,138,263.932746109087,24162102.137439393,242855.6352120665,24404957.77265146,2005886.9402179283,1587320.758303226,1516926.9980879615,47581.465587756815,3910.8053907745325,0.9556524666819627,15.37493770240821
iterative_q_direct,0,9000033,8760,8928,4095,137,303.7748010721989,25072767.79964664,215667.20109790785,25288435.000744548,2078501.5069105108,1611713.8568818646,1538850.0423224214,53933.650685086206,4432.902796034483,0.9547910975336462,15.690399938404289
iterative_q_direct,0,9000034,8760,8928,4579,140,293.5746530559845,24912581.992983766,226077.91717386572,25138659.910157632,2066191.2254924083,1591021.0156239818,1514704.6245588087,58132.94208010146,4778.050033980941,0.9520330716466101,15.800331776446404
iterative_q_direct,0,9000035,8760,8928,4216,137,301.30569871980697,23912434.856056903,210826.07859773998,24123260.934654642,1982733.7754510667,1588969.2418607417,1529453.0105428777,43609.76955485652,3584.3646209471112,0.9625441262486816,15.181704150802448
