controller,model_seed,test_seed,horizon_hours,scenario_hours,event_count,override_events,episode_wall_time_s,episode_total_cost_eur,terminal_cleanup_operating_cost_eur,total_cost_eur,normalized_cost_eur_per_720h,captured_t,stored_t,vented_t,normalized_vented_t_per_720h,storage_rate,unit_cost_eur_per_captured_t
iterative_q_direct,2,9000031,2160,8928,1240,11,22.1381293120794,6176339.154190052,190550.47969427402,6366889.633884327,2122296.544628109,372430.0660718813,338732.1550756197,18561.925037153538,6187.308345717846,0.9095188222806971,17.09553071543767
iterative_q_direct,2,9000032,2160,8928,1317,12,17.87029666872695,6387816.19304317,287177.4760517305,6674993.6690949,2224997.8896983,399245.3761569624,359723.23115664924,20316.96420522339,6772.32140174113,0.9010078829697576,16.719025611133542
iterative_q_direct,2,9000033,2160,8928,1338,11,19.644443578086793,7615167.095477622,207045.28142176892,7822212.3768993905,2607404.1256331303,392631.14943336044,333094.50514155946,38320.42692074003,12773.475640246676,0.8483649491953876,19.92254661452178
iterative_q_direct,2,9000034,2160,8928,1348,10,19.54759107483551,6566722.616409824,263709.38957325293,6830432.005983077,2276810.668661026,386115.2785168188,343874.55536941136,23627.229577918126,7875.7431926393765,0.890600746726039,17.690136562895812
iterative_q_direct,2,9000035,2160,8928,1362,11,19.329846390988678,7008837.5920758955,297882.88418395974,7306720.476259856,2435573.4920866187,374399.2913007368,325684.93823668885,32899.12423362662,10966.374744542207,0.8698866312091439,19.515850179296205
