controller,model_seed,test_seed,horizon_hours,scenario_hours,event_count,override_events,episode_wall_time_s,episode_total_cost_eur,terminal_cleanup_operating_cost_eur,total_cost_eur,normalized_cost_eur_per_720h,captured_t,stored_t,vented_t,normalized_vented_t_per_720h,storage_rate,unit_cost_eur_per_captured_t
iterative_q_direct,1,9000041,720,8928,468,11,4.292505870107561,1788373.0257390193,280745.1767905308,2069118.20252955,2069118.2025295498,122563.14833151178,96506.9097991411,3972.17506193866,3972.1750619386603,0.7874056036656863,16.882058193650092
iterative_q_direct,1,9000042,720,8928,383,12,3.7746765189804137,2153627.827842532,149710.5979527158,2303338.425795248,2303338.425795248,138847.32357664805,122458.82021102046,5831.055561920805,5831.055561920805,0.8819674521375946,16.589001260249233
iterative_q_direct,1,9000043,720,8928,414,10,3.3863840494304895,1594423.487593492,280656.2166188632,1875079.7042123552,1875079.7042123552,132215.3273900092,107926.66209751852,0.0,0.0,0.8162946326121185,14.182014606228211
iterative_q_direct,1,9000044,720,8928,401,12,3.2042355169542134,1628576.2434045665,230876.36284871545,1859452.606253282,1859452.606253282,133798.29071006746,116068.12973719735,0.0,0.0,0.8674858932892479,13.897431696512474
iterative_q_direct,1,9000045,720,8928,392,12,3.757467184215784,1533625.1179480078,283577.6049306723,1817202.72287868,1817202.7228786799,127713.52070975435,106627.2702831051,0.0,0.0,0.8348941419086667,14.228741896549158
