controller,model_seed,test_seed,horizon_hours,scenario_hours,event_count,override_events,episode_wall_time_s,episode_total_cost_eur,terminal_cleanup_operating_cost_eur,total_cost_eur,normalized_cost_eur_per_720h,captured_t,stored_t,vented_t,normalized_vented_t_per_720h,storage_rate,unit_cost_eur_per_captured_t
greedy,,9000036,4320,8928,,,56.99953342974186,15045616.429567866,236242.59774711152,15281859.027314978,2546976.504552496,788628.3971148082,694697.3928210677,75171.22507514148,12528.53751252358,0.8808932006032417,19.377769153664207
greedy,,9000037,4320,8928,,,36.61913866875693,13270761.717168007,198478.96397328397,13469240.68114129,2244873.446856882,778737.5047453274,714809.2065911853,50597.01315784887,8432.835526308145,0.9179077702504533,17.296252715536248
greedy,,9000038,4320,8928,,,56.57979022804648,15032130.678587208,269485.7794905564,15301616.458077764,2550269.4096796275,795614.9476565759,698389.5505575639,74434.25191073451,12405.708651789086,0.877798428265605,19.232439640742705
greedy,,9000039,4320,8928,,,60.382088262122124,14605511.816140965,360171.53538276174,14965683.351523727,2494280.558587288,786484.477925006,683350.6450804629,71508.61313387244,11918.102188978739,0.8688673003227697,19.028580692409747
greedy,,9000040,4320,8928,,,54.23982118908316,13153139.571150646,284677.2760815678,13437816.847232213,2239636.1412053686,776219.7221167715,703940.3299607846,47580.057885835566,7930.009647639261,0.90688281926298,17.31187248191393
